Company,Company Score,Job Title,Location,Date,Salary,City,state,Remote,LowerSalary,UpperSalary,Mid_Salary,Group_job,Salary_Range,Company_Score_Group
Workiva,3.5,senior software engineer,remote,3d,$87K - $135K (Employer est.),Remote,Unknow,Yes,87.0,135.0,111.0,Software_En,101-150,กลาง(>2-3.5]
Samsung Electronics,3.4,software engineer,"mountain view, ca",2d,$77K - $182K (Employer est.),Mountain View, CA,No,77.0,182.0,129.5,Software_En,101-150,ต่ำ(0-2]
IPG Photonics,3.7,software engineer,"oxford, ma",4d,$101K - $144K (Glassdoor est.),Oxford, MA,No,101.0,144.0,122.5,Software_En,101-150,กลาง(>2-3.5]
Crafty,3.3,software engineer,"chicago, il",2d,$101K - $168K (Employer est.),Chicago, IL,No,101.0,168.0,134.5,Software_En,101-150,ต่ำ(0-2]
"Crunchyroll, LLC",4.2,"software engineer iii, payments","san francisco, ca",13d,$74K - $118K (Glassdoor est.),San Francisco, CA,No,74.0,118.0,96.0,Software_En,50-100,กลาง(>2-3.5]
LEGO,3.9,backend software engineer,"irvine, ca",9d,$100K - $200K (Employer est.),Irvine, CA,No,100.0,200.0,150.0,Software_En,101-150,กลาง(>2-3.5]
Principal Financial Group,4.1,experienced software engineer,"des moines, ia",2d,$51K - $78K (Glassdoor est.),Des Moines, IA,No,51.0,78.0,64.5,Software_En,50-100,กลาง(>2-3.5]
INTEL,3.4,security software engineer,"phoenix, az",22d,$71K - $237K (Employer est.),Phoenix, AZ,No,71.0,237.0,154.0,Software_En,151-200,ต่ำ(0-2]
Hasbro,4.4,"software engineer, unreal engine","renton, wa",18d,$87K - $116K (Glassdoor est.),Renton, WA,No,87.0,116.0,101.5,Software_En,101-150,กลาง(>2-3.5]
Software Engineering Institute,4.2,software engineer,"pittsburgh, pa",30d+,$116K - $184K (Employer est.),Pittsburgh, PA,No,116.0,184.0,150.0,Software_En,101-150,กลาง(>2-3.5]
University of Dayton,4.4,associate software engineer,"dayton, oh",2d,$75K - $103K (Glassdoor est.),Dayton, OH,No,75.0,103.0,89.0,Software_En,50-100,กลาง(>2-3.5]
MIT,3.7,software developer,"cambridge, ma",17d,$155K - $221K (Employer est.),Cambridge, MA,No,155.0,221.0,188.0,Software_En,151-200,กลาง(>2-3.5]
Amazon.com Services LLC,5.0,software dev engineer - computer science,"seattle, wa",2d,$112K - $165K (Employer est.),Seattle, WA,No,112.0,165.0,138.5,Software_En,101-150,สูง(>3.5-5]
DaqScribe Solutions,3.9,jr. software engineer,united states,10d,$73K - $109K (Glassdoor est.),United States,Unknow,No,73.0,109.0,91.0,Software_En,50-100,กลาง(>2-3.5]
West Virginia University,4.5,software engineer - libraries,"morgantown, wv",4d,$120K - $150K (Employer est.),Morgantown, WV,No,120.0,150.0,135.0,Software_En,101-150,สูง(>3.5-5]
McKesson,3.9,software engineer,,2d,$88K - $124K (Glassdoor est.),Unknow,Unknow,No,88.0,124.0,106.0,Software_En,101-150,กลาง(>2-3.5]
Noblis,2.0,software engineer (all levels),"chantilly, va",1d,$77K - $87K (Employer est.),Chantilly, VA,No,77.0,87.0,82.0,Software_En,50-100,ต่ำ(0-2]
eimagine,3.5,software engineer,united states,30d+,$65K - $90K (Employer est.),United States,Unknow,No,65.0,90.0,77.5,Software_En,50-100,กลาง(>2-3.5]
CSL SOFTWARE SOLUTIONS,4.1,software/database developer,"burlington, vt",18d,$74K - $101K (Glassdoor est.),Burlington, VT,No,74.0,101.0,87.5,Software_En,50-100,กลาง(>2-3.5]
Chewy,3.8,software engineer ii,"bellevue, wa",2d,$74K - $111K (Glassdoor est.),Bellevue, WA,No,74.0,111.0,92.5,Software_En,50-100,กลาง(>2-3.5]
ERPA,4.3,software test engineer,"dublin, oh",2d,$147K - $186K (Employer est.),Dublin, OH,No,147.0,186.0,166.5,Software_En,151-200,กลาง(>2-3.5]
Afterpay,4.1,"software engineer, incentive","seattle, wa",3d,$129K - $174K (Glassdoor est.),Seattle, WA,No,129.0,174.0,151.5,Software_En,151-200,กลาง(>2-3.5]
Harvard University,5.0,software engineer,"boston, ma",30d+,$89K - $125K (Glassdoor est.),Boston, MA,No,89.0,125.0,107.0,Software_En,101-150,สูง(>3.5-5]
Brooks Automation,3.0,software development engineer,"fremont, ca",4d,$165K - $190K (Employer est.),Fremont, CA,No,165.0,190.0,177.5,Software_En,151-200,ต่ำ(0-2]
DLRdmv,3.5,software engineer,"dallas, tx",2d,$110K - $160K (Employer est.),Dallas, TX,No,110.0,160.0,135.0,Software_En,101-150,กลาง(>2-3.5]
Movius Interactive Corporation,3.3,software engineer- frontend,"fremont, ca",1d,$61K - $110K (Glassdoor est.),Fremont, CA,No,61.0,110.0,85.5,Software_En,50-100,ต่ำ(0-2]
State Street,3.7,software engineer,"burlington, ma",3d,$94K - $154K (Employer est.),Burlington, MA,No,94.0,154.0,124.0,Software_En,101-150,กลาง(>2-3.5]
"Sonalysts, Inc.",3.8,junior software engineer,"waterford, ct",1d,$75K - $115K (Employer est.),Waterford, CT,No,75.0,115.0,95.0,Software_En,50-100,กลาง(>2-3.5]
"Preco, LLC",3.6,software engineer,"somerset, wi",4d,$62K - $106K (Glassdoor est.),Somerset, WI,No,62.0,106.0,84.0,Software_En,50-100,กลาง(>2-3.5]
HealthStream,3.6,software developer,"nashville, tn",10d,$72K - $118K (Glassdoor est.),Nashville, TN,No,72.0,118.0,95.0,Software_En,50-100,กลาง(>2-3.5]
Aptiv plc,4.0,software engineer,"troy, mi",30d+,$75K - $118K (Glassdoor est.),Troy, MI,No,75.0,118.0,96.5,Software_En,50-100,กลาง(>2-3.5]
Zipongo,3.8,software engineer - epic integrations,remote,30d+,$98K - $137K (Glassdoor est.),Remote,Unknow,Yes,98.0,137.0,117.5,Software_En,101-150,กลาง(>2-3.5]
Snowflake,3.7,software engineer - snowpark,"bellevue, wa",2d,$113K - $150K (Employer est.),Bellevue, WA,No,113.0,150.0,131.5,Software_En,101-150,กลาง(>2-3.5]
Staffed4U,4.2,software engineer (level 0 - level ii),"annapolis junction, md",10d,$110K - $140K (Employer est.),Annapolis Junction, MD,No,110.0,140.0,125.0,Software_En,101-150,กลาง(>2-3.5]
Honeycomb.io,4.2,midlevel site reliability engineer,united states,10d,$141K - $179K (Employer est.),United States,Unknow,No,141.0,179.0,160.0,Other,151-200,กลาง(>2-3.5]
Topaz Labs,3.8,"software engineer, infrastructure","dallas, tx",8d,$77K - $136K (Glassdoor est.),Dallas, TX,No,77.0,136.0,106.5,Software_En,101-150,กลาง(>2-3.5]
WEG Electric Corp,4.3,software engineer - wind,"barre, vt",6d,$80K (Employer est.),Barre, VT,No,,,129.3361934477379,Software_En,101-150,กลาง(>2-3.5]
Brown and Caldwell,4.3,software engineer,"atlanta, ga",3d,$79K - $126K (Glassdoor est.),Atlanta, GA,No,79.0,126.0,102.5,Software_En,101-150,กลาง(>2-3.5]
Vertafore,3.7,software engineer ii,"melville, ny",2d,$87K - $119K (Glassdoor est.),Melville, NY,No,87.0,119.0,103.0,Software_En,101-150,กลาง(>2-3.5]
"Aerodyne Industries, LLC",3.1,simulation software engineer (adv00095i),"kennedy sp ct, fl",1d,$72K - $94K (Glassdoor est.),Kennedy Sp Ct, FL,No,72.0,94.0,83.0,Software_En,50-100,ต่ำ(0-2]
KAIROS Inc,3.5,software engineer,"dahlgren, va",16d,$6K - $7K (Employer est.),Dahlgren, VA,No,6.0,7.0,6.5,Software_En,<50,กลาง(>2-3.5]
Topaz Labs,3.7,senior software engineer - photo ai,"dallas, tx",30d+,$68K - $106K (Glassdoor est.),Dallas, TX,No,68.0,106.0,87.0,Software_En,50-100,กลาง(>2-3.5]
S3,3.8,software engineer- 826245,"stennis space center, ms",20d,$56K - $88K (Glassdoor est.),Stennis Space Center, MS,No,56.0,88.0,72.0,Software_En,50-100,กลาง(>2-3.5]
"J. Paul Getty Trust, The",4.1,software engineer sr,"los angeles, ca",30d+,$72K - $113K (Glassdoor est.),Los Angeles, CA,No,72.0,113.0,92.5,Software_En,50-100,กลาง(>2-3.5]
Topaz Labs,3.4,software engineer - ml performance / hpc,"dallas, tx",30d+,$90K - $119K (Glassdoor est.),Dallas, TX,No,90.0,119.0,104.5,Software_En,101-150,ต่ำ(0-2]
Rover.com,3.2,"senior software engineer, orders team","seattle, wa",25d,$101K - $135K (Glassdoor est.),Seattle, WA,No,101.0,135.0,118.0,Software_En,101-150,ต่ำ(0-2]
University of Oregon,3.8,research software engineer,"eugene, or",2d,$155K - $180K (Employer est.),Eugene, OR,No,155.0,180.0,167.5,Software_En,151-200,กลาง(>2-3.5]
dōTERRA International,4.0,software engineer ii,utah,12d,$85K - $114K (Glassdoor est.),Utah,Unknow,No,85.0,114.0,99.5,Software_En,50-100,กลาง(>2-3.5]
AHU Technologies,4.6,software engineer,"newark, de",12d,$130K - $160K (Employer est.),Newark, DE,No,130.0,160.0,145.0,Software_En,101-150,สูง(>3.5-5]
ALSTOM,3.4,software engineer,"pittsburgh, pa",2d,$160K - $250K (Employer est.),Pittsburgh, PA,No,160.0,250.0,205.0,Software_En,201-250,ต่ำ(0-2]
Jack Henry & Associates,2.9,software release engineer,united states,8d,$100K (Employer est.),United States,Unknow,No,,,129.3361934477379,Software_En,101-150,ต่ำ(0-2]
ISPA Technology,3.0,junior software systems engineer,"washington, dc",23d,$120K - $150K (Employer est.),Washington, DC,No,120.0,150.0,135.0,Software_En,101-150,ต่ำ(0-2]
"Universal Health Services, Inc. - Corporate Office",3.4,associate software engineer - data analytics,"king of prussia, pa",30d+,$96K - $146K (Glassdoor est.),King of Prussia, PA,No,96.0,146.0,121.0,Software_En,101-150,ต่ำ(0-2]
Relias,3.8,associate software engineer,"morrisville, nc",4d,$107K - $144K (Glassdoor est.),Morrisville, NC,No,107.0,144.0,125.5,Software_En,101-150,กลาง(>2-3.5]
Tickrs Clearing,3.1,software engineer,"irvine, ca",2d,$138K - $189K (Glassdoor est.),Irvine, CA,No,138.0,189.0,163.5,Software_En,151-200,ต่ำ(0-2]
CTC Group,4.8,software engineer,"fort meade, md",30d+,$78K - $118K (Glassdoor est.),Fort Meade, MD,No,78.0,118.0,98.0,Software_En,50-100,สูง(>3.5-5]
GoTab Inc,3.5,jr. deployment engineer,"arlington, va",10d,$113K - $139K (Glassdoor est.),Arlington, VA,No,113.0,139.0,126.0,Other,101-150,กลาง(>2-3.5]
ILOGIC INC,3.5,software developers,township of hamilton,30d+,$80.00 Per Hour (Employer est.),Township of Hamilton,Unknow,No,,,129.3361934477379,Software_En,101-150,กลาง(>2-3.5]
CSX,3.8,software engineer ii - service now,"jacksonville, fl",23d,$70K - $109K (Glassdoor est.),Jacksonville, FL,No,70.0,109.0,89.5,Software_En,50-100,กลาง(>2-3.5]
Synergy ECP,4.4,junior software engineer,"fort meade, md",2d,$73K - $117K (Glassdoor est.),Fort Meade, MD,No,73.0,117.0,95.0,Software_En,50-100,กลาง(>2-3.5]
M&T Bank,5.0,software engineer iii,"wilmington, de",30d+,$62K - $107K (Glassdoor est.),Wilmington, DE,No,62.0,107.0,84.5,Software_En,50-100,สูง(>3.5-5]
Cardlytics,5.0,software engineer iii,"menlo park, ca",18d,$124K - $169K (Glassdoor est.),Menlo Park, CA,No,124.0,169.0,146.5,Software_En,101-150,สูง(>3.5-5]
"Stefanini, Inc",3.8,aws cloud engineer,"richmond, va",1d,$96K - $117K (Employer est.),Richmond, VA,No,96.0,117.0,106.5,Software_clound,101-150,กลาง(>2-3.5]
Innovative Systems,3.8,c software engineer,"pittsburgh, pa",9d,$84K - $140K (Glassdoor est.),Pittsburgh, PA,No,84.0,140.0,112.0,Software_En,101-150,กลาง(>2-3.5]
Parabola,3.8,"software engineer, full stack",united states,8d,$66K - $94K (Glassdoor est.),United States,Unknow,No,66.0,94.0,80.0,Software_En,50-100,กลาง(>2-3.5]
Vibrint,3.5,software engineer i (python developer),united states,11d,$70K - $120K (Employer est.),United States,Unknow,No,70.0,120.0,95.0,Software_En,50-100,กลาง(>2-3.5]
Millennium Management,4.2,front end engineer,united states,4d,$78K - $126K (Employer est.),United States,Unknow,No,78.0,126.0,102.0,Other,101-150,กลาง(>2-3.5]
Sagitec,3.9,software engineer,"saint paul, mn",2d,$165K - $209K (Employer est.),Saint Paul, MN,No,165.0,209.0,187.0,Software_En,151-200,กลาง(>2-3.5]
Careerus Soultions,4.0,devops engineer,,2d,$90K - $125K (Glassdoor est.),Unknow,Unknow,No,90.0,125.0,107.5,Software_Dev,101-150,กลาง(>2-3.5]
Innovien Solutions,3.3,sr. software engineer,"atlanta, ga",6d,$116K - $150K (Employer est.),Atlanta, GA,No,116.0,150.0,133.0,Software_En,101-150,ต่ำ(0-2]
Ocean Power Technologies Inc,3.8,software engineer,united states,2d,$107K - $192K (Employer est.),United States,Unknow,No,107.0,192.0,149.5,Software_En,101-150,กลาง(>2-3.5]
Riverside Research Institute,4.8,software engineer,"fairborn, oh",3d,$79K - $120K (Glassdoor est.),Fairborn, OH,No,79.0,120.0,99.5,Software_En,50-100,สูง(>3.5-5]
Staffed4U,5.0,java software engineer,"annapolis junction, md",30d+,$94K - $153K (Employer est.),Annapolis Junction, MD,No,94.0,153.0,123.5,Software_En,101-150,สูง(>3.5-5]
Uber Freight,5.0,software engineer ii,"chicago, il",1d,$84K - $129K (Glassdoor est.),Chicago, IL,No,84.0,129.0,106.5,Software_En,101-150,สูง(>3.5-5]
Diverse Career Solutions,3.7,software engineer,,2d,$48K - $81K (Glassdoor est.),Unknow,Unknow,No,48.0,81.0,64.5,Software_En,50-100,กลาง(>2-3.5]
Snowflake,4.1,software engineer - database engineering,"bellevue, wa",4d,$82K - $129K (Glassdoor est.),Bellevue, WA,No,82.0,129.0,105.5,Software_En,101-150,กลาง(>2-3.5]
Likewize,4.0,jr devops engineer,"dallas, tx",2d,$61K - $104K (Glassdoor est.),Dallas, TX,No,61.0,104.0,82.5,Software_Dev,50-100,กลาง(>2-3.5]
MassMutual Ascend,4.0,senior software engineer ii,"cincinnati, oh",19d,$182K - $244K (Employer est.),Cincinnati, OH,No,182.0,244.0,213.0,Software_En,201-250,กลาง(>2-3.5]
Washington DC government,4.7,react developer,remote,2d,$96K - $116K (Employer est.),Remote,Unknow,Yes,96.0,116.0,106.0,Software_Dev,101-150,สูง(>3.5-5]
AnaVation,3.7,software developer,"quantico, va",3d,$68K - $136K (Employer est.),Quantico, VA,No,68.0,136.0,102.0,Software_En,101-150,กลาง(>2-3.5]
3R Info,3.9,software engineer,"canton, mi",30d+,$93K - $132K (Glassdoor est.),Canton, MI,No,93.0,132.0,112.5,Software_En,101-150,กลาง(>2-3.5]
Strategic Mission Elements,3.5,software developer (typescript/javascript),"chantilly, va",26d,$77K - $125K (Glassdoor est.),Chantilly, VA,No,77.0,125.0,101.0,Software_En,101-150,กลาง(>2-3.5]
"IPSecure, Inc.",3.9,senior software engineer,"patrick afb, fl",4d,$52K - $200K (Employer est.),Patrick AFB, FL,No,52.0,200.0,126.0,Software_En,101-150,กลาง(>2-3.5]
RELX,3.2,software engineer ii,georgia,2d,$81K - $118K (Glassdoor est.),Georgia,Unknow,No,81.0,118.0,99.5,Software_En,50-100,ต่ำ(0-2]
Solventum,3.6,software engineer - front-end (solventum),"maplewood, mn",3d,$128K - $192K (Employer est.),Maplewood, MN,No,128.0,192.0,160.0,Software_En,151-200,กลาง(>2-3.5]
Focus Technology Solutions Inc,3.0,cloud engineer,"boston, ma",4d,$150K - $225K (Employer est.),Boston, MA,No,150.0,225.0,187.5,Software_clound,151-200,ต่ำ(0-2]
Two Six Technologies,4.1,software engineer,"warrenton, va",17d,$50.00 Per Hour (Employer est.),Warrenton, VA,No,,,129.3361934477379,Software_En,101-150,กลาง(>2-3.5]
"Adams, Inc.",3.2,software engineer,tennessee,4d,$85K - $120K (Employer est.),Tennessee,Unknow,No,85.0,120.0,102.5,Software_En,101-150,ต่ำ(0-2]
CPS Insurance Services,3.4,junior software developer,"phoenix, az",1d,$192K - $245K (Employer est.),Phoenix, AZ,No,192.0,245.0,218.5,Software_En,201-250,ต่ำ(0-2]
Cephas,3.1,software engineer,"melbourne, fl",4d,$114K - $182K (Employer est.),Melbourne, FL,No,114.0,182.0,148.0,Software_En,101-150,ต่ำ(0-2]
Chubb,3.4,software engineer - java springboot (dt),"whitehouse station, nj",3d,$102K - $134K (Glassdoor est.),Whitehouse Station, NJ,No,102.0,134.0,118.0,Software_En,101-150,ต่ำ(0-2]
Uber Freight,3.6,software engineer iii - mobile (multiple openings),"san francisco, ca",9d,$101K - $160K (Employer est.),San Francisco, CA,No,101.0,160.0,130.5,Software_En,101-150,กลาง(>2-3.5]
Consumers Energy,4.8,assoc software engineer,"jackson, mi",6d,$90K - $124K (Glassdoor est.),Jackson, MI,No,90.0,124.0,107.0,Software_En,101-150,สูง(>3.5-5]
U.S. Bank National Association,3.4,senior software engineer,"hopkins, mn",1d,$88K - $128K (Glassdoor est.),Hopkins, MN,No,88.0,128.0,108.0,Software_En,101-150,ต่ำ(0-2]
MedImpact Healthcare Systems,3.5,software engineer iv,"san diego, ca",30d+,$83K - $131K (Glassdoor est.),San Diego, CA,No,83.0,131.0,107.0,Software_En,101-150,กลาง(>2-3.5]
IMC Financial Markets,3.1,graduate software engineer,"chicago, il",17d,$70K - $90K (Employer est.),Chicago, IL,No,70.0,90.0,80.0,Software_En,50-100,ต่ำ(0-2]
Truveta,4.0,software engineer - normalization,"seattle, wa",3d,$164K - $182K (Employer est.),Seattle, WA,No,164.0,182.0,173.0,Software_En,151-200,กลาง(>2-3.5]
"Signature Science, LLC",4.2,software engineer,"egg harbor township, nj",23d,$73K - $92K (Employer est.),Egg Harbor Township, NJ,No,73.0,92.0,82.5,Software_En,50-100,กลาง(>2-3.5]
JYG Innovations,4.1,web developers,"frederick, md",2d,$108K - $200K (Employer est.),Frederick, MD,No,108.0,200.0,154.0,Software_Dev,151-200,กลาง(>2-3.5]
Vensit,3.5,software engineer,"sayreville, nj",30d+,$123K - $160K (Glassdoor est.),Sayreville, NJ,No,123.0,160.0,141.5,Software_En,101-150,กลาง(>2-3.5]
Independent Software,3.9,software engineer - apprentice,united states,17d,$112K - $141K (Glassdoor est.),United States,Unknow,No,112.0,141.0,126.5,Software_En,101-150,กลาง(>2-3.5]
"Visionist, Inc.",3.5,junior software engineer,"fort meade, md",10d,$101K - $160K (Employer est.),Fort Meade, MD,No,101.0,160.0,130.5,Software_En,101-150,กลาง(>2-3.5]
NCR,3.1,software dev ops engineer ii,indiana,3d,$69K - $143K (Employer est.),Indiana,Unknow,No,69.0,143.0,106.0,Software_En,101-150,ต่ำ(0-2]
Clearwater Analytics,3.6,senior software development engineer,"seattle, wa",9d,$120K - $140K (Employer est.),Seattle, WA,No,120.0,140.0,130.0,Software_En,101-150,กลาง(>2-3.5]
"Technical Intelligence Solutions, LLC",3.0,software engineer,"crystal city, va",2d,$68K - $120K (Glassdoor est.),Crystal City, VA,No,68.0,120.0,94.0,Software_En,50-100,ต่ำ(0-2]
CVS Health,3.8,associate software development engineer - colleague experience,"woonsocket, ri",29d,$104K - $136K (Glassdoor est.),Woonsocket, RI,No,104.0,136.0,120.0,Software_En,101-150,กลาง(>2-3.5]
"Delta Defense, LLC",3.9,"associate engineer, analytics","west bend, wi",2d,$82K - $115K (Glassdoor est.),West Bend, WI,No,82.0,115.0,98.5,Other,50-100,กลาง(>2-3.5]
Koalafi,3.2,backend software engineer,"richmond, va",13d,$161K - $239K (Employer est.),Richmond, VA,No,161.0,239.0,200.0,Software_En,151-200,ต่ำ(0-2]
INTEL,4.1,ai research engineer,arizona,17d,$107K - $150K (Employer est.),Arizona,Unknow,No,107.0,150.0,128.5,Other,101-150,กลาง(>2-3.5]
No.Inc,5.0,software engineer,"baltimore, md",5d,$91K - $122K (Glassdoor est.),Baltimore, MD,No,91.0,122.0,106.5,Software_En,101-150,สูง(>3.5-5]
f5,3.5,software engineer iii,"seattle, wa",30d+,$103K - $144K (Glassdoor est.),Seattle, WA,No,103.0,144.0,123.5,Software_En,101-150,กลาง(>2-3.5]
Arcadia Science,3.3,"software engineer, product","berkeley, ca",6d,$80K - $100K (Employer est.),Berkeley, CA,No,80.0,100.0,90.0,Software_En,50-100,ต่ำ(0-2]
Artint Knowledge Tech,3.5,firmware (linux) dev i,remote,5d,$100K - $128K (Employer est.),Remote,Unknow,Yes,100.0,128.0,114.0,Software_Dev,101-150,กลาง(>2-3.5]
Castellum Inc,4.1,software engineer,"patuxent river, md",30d+,$90K - $180K (Employer est.),Patuxent River, MD,No,90.0,180.0,135.0,Software_En,101-150,กลาง(>2-3.5]
Instacart,3.7,"senior software engineer, core experiences",remote,12d,$110K - $130K (Employer est.),Remote,Unknow,Yes,110.0,130.0,120.0,Software_En,101-150,กลาง(>2-3.5]
WALGREENS,4.4,software engineer (rxr),"deerfield, il",1d,$76K - $121K (Glassdoor est.),Deerfield, IL,No,76.0,121.0,98.5,Software_En,50-100,กลาง(>2-3.5]
Duquesne Light,3.6,software engineer iii,"pittsburgh, pa",16d,$88K - $111K (Employer est.),Pittsburgh, PA,No,88.0,111.0,99.5,Software_En,50-100,กลาง(>2-3.5]
Super Micro Computer,3.0,software engineer,"san jose, ca",30d+,$73K - $116K (Glassdoor est.),San Jose, CA,No,73.0,116.0,94.5,Software_En,50-100,ต่ำ(0-2]
UCare,4.4,software engineer senior â€“ azure,"minneapolis, mn",19d,$182K - $273K (Employer est.),Minneapolis, MN,No,182.0,273.0,227.5,Software_En,201-250,กลาง(>2-3.5]
CyberCore Technologies,2.6,software engineer 0,"annapolis junction, md",9d,$85K - $113K (Glassdoor est.),Annapolis Junction, MD,No,85.0,113.0,99.0,Software_En,50-100,ต่ำ(0-2]
CoinFlip,3.5,aws devops engineer,"chicago, il",25d,$65K - $95K (Employer est.),Chicago, IL,No,65.0,95.0,80.0,Software_Dev,50-100,กลาง(>2-3.5]
BI Labs,4.1,software developers (021),"plainsboro, nj",30d+,$109K - $168K (Employer est.),Plainsboro, NJ,No,109.0,168.0,138.5,Software_En,101-150,กลาง(>2-3.5]
Sahbi Systems,4.1,software engineers,alabama,18d,$80K - $99K (Glassdoor est.),Alabama,Unknow,No,80.0,99.0,89.5,Software_En,50-100,กลาง(>2-3.5]
Cultura Technologies Inc,4.4,sr software engineer,remote,1d,$104K - $153K (Glassdoor est.),Remote,Unknow,Yes,104.0,153.0,128.5,Software_En,101-150,กลาง(>2-3.5]
